"slug","name"
159,"ISARA Lyon","Institut supérieur d'agriculture et d’agroalimentaire Rhône-Alpes"
160,"ISC Paris","Institut Supérieur du Commerce de Paris"
161,"ISEN Brest","Institut supérieur de l'électronique et du numérique"
162,"ISEN Lille","Institut supérieur de l'électronique et du numérique de Lille"
163,"ISEN Toulon","Institut supérieur de l’électronique et du numérique-Toulon"
164,"ISEP","Institut supérieur d'électronique de Paris"
165,"ISIT","ISIT-Institut de management et de communication interculturels"
166,"ISMANS","Institut supérieur des matériaux et mécaniques avancés"
167,"ISTIL","Ecole d’ingénieur de l’Université Claude Bernard Lyon"
168,"ITECH Lyon","Institut textile et chimique de Lyon"
169,"LaSalle Beauvais","LaSalle Beauvais-Institut polytechnique LaSalle Beauvais"
170,"MBS","Montpellier Business School"
171,"MINES ParisTech","MINES ParisTech"
172,"Montpellier SupAgro","Centre international d’études supérieures en sciences agronomiques"
173,"Polytech'Annecy-Chambery","Polytech'Annecy Chambery"
174,"Polytech'Clermont-Ferrand","Polytech'Clermont-Ferrand-Ecole polytechnique universitaire de Clermont-Ferrand"
175,"Polytech'Grenoble","Polytech'Grenoble-Ecole polytechnique de l'université de Grenoble"
176,"Polytech'Lille","Polytech'Lille-Ecole polytechnique universitaire de Lille"
177,"Polytech'Marseille","Polytech'Marseille-Ecole polytechnique universitaire de Marseille"
178,"Polytech'Montpellier","Polytech'Montpellier-Ecole polytechnique universitaire de Montpellier"
179,"Polytech'Nantes","Polytech'Nantes-Ecole polytechnique de l'université de Nantes"
180,"Polytech'Nice","Polytech'Nice-Ecole polytechnique de l'université de Nice"
181,"Polytech'Orléans","Polytech'Orléans-Ecole polytechnique de l'université d'Orléans"
182,"Polytech'Paris SUD","Polytech'Paris sud-Ecole polytechnique de l'université de Paris SUD"
183,"Polytech'Paris UMPC","Polytech'Paris UMPC-Ecole polytechnique de l'université de Paris UMPC"
184,"Polytech'Tours","Polytech'Tours-Ecole polytechnique de l'université de Tours"
185,"Reims Management School","Reims Management School"
186,"Rouen Business School","Rouen Business School"
187,"SKEMA Business school","SKEMA Business school"
188,"SUPMECA","SUPMECA-Institut supérieur de mécanique de Paris"
189,"TELECOM","TELECOM Ecole de management"
190,"TELECOM Bretagne","TELECOM Bretagne"
191,"TELECOM Lille 1","TELECOM Lille 1"
192,"TELECOM ParisTech","TELECOM ParisTech"
193,"TELECOM SudParis","TELECOM SudParis"
194,"ABS Paris","American Business School Paris"
195,"EM Montréal","EP Montréal-Ecole polytechnique Montréal"
196,"EPFL","EPFL-Ecole Polytechnique Fédérale de Lausanne" 
197,"EPL","EPL-Ecole Polytechnique de Louvain" 
198,"GxABT","GxABT-Gembloux Agro-Bio Tech"
199,"HEC Lausanne","HEC Lausanne"
200,"Hec Montreal" , "HEC Montréal"
201,"Solvay" , "SOLVAY-Solvay Brussels School" 
